Was heißt eigentlich „BOKraft“?,Handelsgesetz,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Wie sind Fundsachen zu behandeln?,muss nach jeder Fahrt festgestellt werden. ob Fundsachen zurückgeblieben sind,Verbot der Fahrtätigkeit bei bestimmten. übertragbaren Krankheiten (Diphtherie. Lungentuberkulose etc.),können diese nicht sofort zurückgegeben werden. so sind sie sofort nach Feierabend im Betrieb oder an einer von der Genehmigungsbehörde benannten Stelle abzuliefern,kein Fernsehempfänger (während der Fahrt);,Das Fahrpersonal hat sich rücksichtsvoll und besonnen zu verhalten.,Gebot eines rücksichtsvollen und besonnen Verhaltens. • Keine alkoholischen Getränke oder die Fahrtüchtigkeit beeinträchtigenden Mittel (weder während der Fahrt noch beim Fahrantritt unter ihrer Wirkung stehen),Unfallversicherung,Rauchverbot während der Beförderung. (Ausnahme: Zustimmung des Fahrgastes).,
Welche Papiere muss ein Mietwagenfahrer mitführen? Welche Dokumente und Urkunden hat der Taxifahrer während der Fahrt mitzuführen?,Führerschein.,Fahrerlaubnis zur Fahrgastbeförderung,Fahrzeugschein. AU-Bescheinigung,Stadtplan,Genehmigungsurkunde oder den Konzessionsauszug,Sozialversicherungsausweis mit Lichtbild,Sozialversicherungsausweis mit Lichtbild,Genehmigung für Außenwerbung,
Darf der Taxi- und Mietwagenfahrer während des Fahrauftrages rauchen?,Führerschein.,Fahrerlaubnis zur Fahrgastbeförderung,Nein. Rauchverbot,Stadtplan,Genehmigungsurkunde oder den Konzessionsauszug,Sozialversicherungsausweis mit Lichtbild,Sozialversicherungsausweis mit Lichtbild,Genehmigung für Außenwerbung,
Welcher Fahrweg ist zu wählen?,Führerschein.,Fahrerlaubnis zur Fahrgastbeförderung,Nein. Rauchverbot,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Stadtplan,Genehmigungsurkunde oder den Konzessionsauszug,Sozialversicherungsausweis mit Lichtbild,Sozialversicherungsausweis mit Lichtbild,
Welchen Fahrweg hat der Mietwagenfahrer zu wählen?,Führerschein.,Fahrerlaubnis zur Fahrgastbeförderung,Nein. Rauchverbot,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Der Mietfahrer hat den verkehrsgünstigen Weg zum Fahrtziel zu wählen. wenn d. Fahrgast nichts anderes bestimmt.,Stadtplan,Genehmigungsurkunde oder den Konzessionsauszug,Sozialversicherungsausweis mit Lichtbild,
Der Mietfahrer hat den verkehrsgünstigen Weg zum Fahrtziel zu wählen. wenn d. Fahrgast nichts anderes bestimmt.,Gebot eines rücksichtsvollen und besonnen Verhaltens. • Keine alkoholischen Getränke oder die Fahrtüchtigkeit beeinträchtigenden Mittel (weder während der Fahrt noch beim Fahrantritt unter ihrer Wirkung stehen),Ja. Aber darf durch die Mitnahme von Gepäckstücken die Sicherheit und Ordnung beim Betrieb des Taxis nicht gefährdet werden. Ein Anspruch auf die Beförderung von gefährlichen Stoffen oder Gegenständen besteht nicht.,Fahrerlaubnis zur Fahrgastbeförderung,Nein. Rauchverbot,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Der Mietfahrer hat den verkehrsgünstigen Weg zum Fahrtziel zu wählen. wenn d. Fahrgast nichts anderes bestimmt.,Stadtplan,Genehmigungsurkunde oder den Konzessionsauszug,
Wie viele Gepäck muss ein Taxi auch bei vollständiger Besetzung mindestens befördern können?,Gebot eines rücksichtsvollen und besonnen Verhaltens. • Keine alkoholischen Getränke oder die Fahrtüchtigkeit beeinträchtigenden Mittel (weder während der Fahrt noch beim Fahrantritt unter ihrer Wirkung stehen),Ja. Aber darf durch die Mitnahme von Gepäckstücken die Sicherheit und Ordnung beim Betrieb des Taxis nicht gefährdet werden. Ein Anspruch auf die Beförderung von gefährlichen Stoffen oder Gegenständen besteht nicht.,Fahrerlaubnis zur Fahrgastbeförderung,Mindestens 50 kg,Nein. Rauchverbot,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Der Mietfahrer hat den verkehrsgünstigen Weg zum Fahrtziel zu wählen. wenn d. Fahrgast nichts anderes bestimmt.,Stadtplan,
Wann können Personen von der Beförderung ausgeschlossen werden? Welche Personen können von der Beförderung ausgeschlossen werden?,Ja. Aber darf durch die Mitnahme von Gepäckstücken die Sicherheit und Ordnung beim Betrieb des Taxis nicht gefährdet werden. Ein Anspruch auf die Beförderung von gefährlichen Stoffen oder Gegenständen besteht nicht.,Fahrerlaubnis zur Fahrgastbeförderung,Mindestens 50 kg,Nein. Rauchverbot,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Der Mietfahrer hat den verkehrsgünstigen Weg zum Fahrtziel zu wählen. wenn d. Fahrgast nichts anderes bestimmt.,Personen. die eine Gefahr für die Sicherheit und Ordnung beim Betrieb des Taxis oder für andere Fahrgäste darstellen. z.B. schwer Betrunkene oder Personen mit geladenen Schusswaffen.,Ein bereits mitgenommener Fahrgast kann von der weiteren Beförderung ausgeschlossen und zum Verlassen des Taxis aufgefordert werden. wenn er eine Gefahr darstellt,
Nennen Sie 5 Punkte. die dem Fahrgast während der Fahrt ausdrücklich untersagt sind.,die Türen während der Fahrt zu öffnen,Gegenstände aus dem Fahrzeug zu werfen oder hinausragen zu lassen.,Nein. Rauchverbot,ein als besetzt bezeichnetes Fahrzeug zu betreten,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Stadtplan,in einem Taxi zu rauchen.,Fernsehrundfunkempfänger zu benutzen,
Darf ein Taxi ohne Fahrerlaubnis zur Fahrgastbeförderung fahren?,die Türen während der Fahrt zu öffnen,Gegenstände aus dem Fahrzeug zu werfen oder hinausragen zu lassen.,Nein. Rauchverbot,ein als besetzt bezeichnetes Fahrzeug zu betreten,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Ja. solange das Taxi nicht zur Fahrgastbeförderung bereitgehalten wird (z.B. Werkstattfahrten),in einem Taxi zu rauchen.,Fernsehrundfunkempfänger zu benutzen,
Müssen ein Taxen nach außen und innen wirkendes Schild mit der Ordnungsnummer haben. Wo ist dieses Schild anzubringen?,Gegenstände aus dem Fahrzeug zu werfen oder hinausragen zu lassen.,Fernsehrundfunkempfänger zu benutzen,Ja. an der rechten unteren Ecke der Heckscheibe.,Nein. Rauchverbot,ein als besetzt bezeichnetes Fahrzeug zu betreten,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Ja. solange das Taxi nicht zur Fahrgastbeförderung bereitgehalten wird (z.B. Werkstattfahrten),in einem Taxi zu rauchen.,
Müssen Taxi- und Mietwagen mit einer Alarmanlage versehen sein?,Fernsehrundfunkempfänger zu benutzen,Ja. die Alarmanlage ist das einzige Sicherheitssystem. das die BOKraft vorsieht.,Ja. an der rechten unteren Ecke der Heckscheibe.,Nein. Rauchverbot,ein als besetzt bezeichnetes Fahrzeug zu betreten,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Ja. solange das Taxi nicht zur Fahrgastbeförderung bereitgehalten wird (z.B. Werkstattfahrten),in einem Taxi zu rauchen.,
Ja. die Alarmanlage ist das einzige Sicherheitssystem. das die BOKraft vorsieht. sein?,die Alarmanlage muss vom Fahrersitz aus in Betrieb gesetzt werden können.,Fernsehrundfunkempfänger zu benutzen,Ja. die Alarmanlage ist das einzige Sicherheitssystem. das die BOKraft vorsieht.,Ja. an der rechten unteren Ecke der Heckscheibe.,Nein. Rauchverbot,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,sie muss die Hupe zum Tönen in Intervallen. die Scheinwerfer und die hinteren Fahrtrichtungsanzeiger zum Blinken bringen.,zusätzlich kann das Taxischild. auch mittels eingebauter roter Leuchtdioden. zum Blinken gebracht werden.,
Wie viele Türen müssen Taxi- und Mietwagen mindestens haben und wo?,Fernsehrundfunkempfänger zu benutzen,Ja. die Alarmanlage ist das einzige Sicherheitssystem. das die BOKraft vorsieht.,Ja. an der rechten unteren Ecke der Heckscheibe.,Nein. Rauchverbot,2 Türen mindestens an der rechten Längsseite.,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,sie muss die Hupe zum Tönen in Intervallen. die Scheinwerfer und die hinteren Fahrtrichtungsanzeiger zum Blinken bringen.,zusätzlich kann das Taxischild. auch mittels eingebauter roter Leuchtdioden. zum Blinken gebracht werden.,
Was ist zu beachten. wenn Kinder unter 12 Jahren befördert werden sollen?,Fernsehrundfunkempfänger zu benutzen,Kinder der Gewichtsklasse 0 (0-9 kg) müssen bei Beförderungen mit dem Taxi nicht gesichert werden.,Ja. an der rechten unteren Ecke der Heckscheibe.,Nein. Rauchverbot,2 Türen mindestens an der rechten Längsseite.,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Kindern unter 12 Jahren. die kleiner als 150 cm sind nur auf den hinteren Sitzplätzen zu befördern. es sei denn. dass die hinteren Plätze bereits durch Kinder besetzt sind.,für die Beförderung von Kindern ist auf allen Sitzen eine Rückhalteeinrichtung für Kinder vorgeschrieben.,
Nennen Sie 2 äußere Merkmale eines Taxis!,Fernsehrundfunkempfänger zu benutzen,Kinder der Gewichtsklasse 0 (0-9 kg) müssen bei Beförderungen mit dem Taxi nicht gesichert werden.,hell-elfenbeinfarbigen Anstrich.,2 Türen mindestens an der rechten Längsseite.,Taxischild auf dem Dach der Taxe.,Der Taxifahrer hat den kürzesten Weg zum Fahrtziel zu wählen. wenn der Fahrgast nichts anderes bestimmt.,Kindern unter 12 Jahren. die kleiner als 150 cm sind nur auf den hinteren Sitzplätzen zu befördern. es sei denn. dass die hinteren Plätze bereits durch Kinder besetzt sind.,für die Beförderung von Kindern ist auf allen Sitzen eine Rückhalteeinrichtung für Kinder vorgeschrieben.,
Wie muss ein Taxi ausgestattet sein? Nennen Sie 5 Ausrüstungsgegenstände. die sich laut der Betriebsordnung an oder in einem Nichtraucher-Taxi befinden müssen.,hell-elfenbeinfarbiger Anstrich.,Taxischild (beleuchtbar).,Ordnungsnummer (in der Heckscheibe),Schild mit Namen und Betriebssitz des Unternehmens (im Wageninnern).,Fahrpreisanzeiger,Alarmanlage,Sicherheitsgurt auf allen Sitzplätzen,Nichtraucher-Taxi-Sinnbild,
Welche weitere Beschriftung muss ein Taxi enthalten?,Kinder der Gewichtsklasse 0 (0-9 kg) müssen bei Beförderungen mit dem Taxi nicht gesichert werden.,hell-elfenbeinfarbigen Anstrich.,2 Türen mindestens an der rechten Längsseite.,an der rechten unteren Ecke der Heckscheibe ist ein nach außen und innen wirkendes Schild mit Ordnungsnummer. die die Genehmigungsbehörde erteilt hat. anzubringen.,im Wageninnern ist an einer für den Fahrgast gut sichtbaren Stelle ein Schild mit Namen und Betriebssitz des Unternehmers anzubringen.,Warnweste,Warndreieck,Wenn es die Witterungsverhältnisse erfordern. dann Winterreifen. Schneeketten. Spaten und Hacke und Abschleppseil oder -stange,
Welche Ausrüstungsgegenstände sind im Taxi mitzuführen?,Erste-Hilfe-Material.,hell-elfenbeinfarbigen Anstrich.,Rückhalteeinrichtung für Kinder.,im Wageninnern ist an einer für den Fahrgast gut sichtbaren Stelle ein Schild mit Namen und Betriebssitz des Unternehmers anzubringen.,Feuerlöscher wird empfohlen. ist aber keine Pflicht.,Warnweste,Warndreieck,Wenn es die Witterungsverhältnisse erfordern. dann Winterreifen. Schneeketten. Spaten und Hacke und Abschleppseil oder -stange,
Welche Kleidung ist bei Reparaturen und Unfallen,Erste-Hilfe-Material.,hell-elfenbeinfarbigen Anstrich.,Rückhalteeinrichtung für Kinder.,Bei Unfällen oder Reparaturen auf der Straße ist die Warnweste anzuziehen,Feuerlöscher wird empfohlen. ist aber keine Pflicht.,Warnweste,Warndreieck,Wenn es die Witterungsverhältnisse erfordern. dann Winterreifen. Schneeketten. Spaten und Hacke und Abschleppseil oder -stange,
Wo ist ein Taxischild anzubringen?,Erste-Hilfe-Material.,hell-elfenbeinfarbigen Anstrich.,Rückhalteeinrichtung für Kinder.,Bei Unfällen oder Reparaturen auf der Straße ist die Warnweste anzuziehen,Feuerlöscher wird empfohlen. ist aber keine Pflicht.,Auf dem Dach des Taxis ist ein von innen beleuchtbares quer zur Fahrtrichtung angebrachtes Schild zu installieren. das auf der Vorder- und Rückseite die Aufschrift TAXI enthält.,Warndreieck,Wenn es die Witterungsverhältnisse erfordern. dann Winterreifen. Schneeketten. Spaten und Hacke und Abschleppseil oder -stange,
Wann muss das Taxischild beleuchtet sein und wann nicht? Wie ist das Taxischild zu benutzen?,Rückhalteeinrichtung für Kinder.,innerhalb des Pflichtfahrgebietes. wenn keine Fahrtauf- träge ausgeführt werden,Bei Unfällen oder Reparaturen auf der Straße ist die Warnweste anzuziehen,bei der Bereitstellung am Taxenstand.,Außerhalb des Geltungsbereiches,während der Durchführung eines Fahrauftrages,beim Leerfahrt zum Kunden. da ein Fahrauftrag vorliegt,Warndreieck,
Warum dürfen am Mietwagen keine Nichtraucher-Symbole nach BOKraft angebracht werden?,innerhalb des Pflichtfahrgebietes. wenn keine Fahrtauf- träge ausgeführt werden,Bei Unfällen oder Reparaturen auf der Straße ist die Warnweste anzuziehen,Mietwagen hat keine Beförderungspflicht. deshalb kann der Fahrer schon aus dem Hausrecht dem Fahrgast das Rauchen verbieten.,bei der Bereitstellung am Taxenstand.,Außerhalb des Geltungsbereiches,während der Durchführung eines Fahrauftrages,beim Leerfahrt zum Kunden. da ein Fahrauftrag vorliegt,Warndreieck,
Ist bei Taxen und Mietwagen Eigen- bzw. Fremdwerbung erlaubt?,innerhalb des Pflichtfahrgebietes. wenn keine Fahrtauf- träge ausgeführt werden,Bei Unfällen oder Reparaturen auf der Straße ist die Warnweste anzuziehen,Mietwagen hat keine Beförderungspflicht. deshalb kann der Fahrer schon aus dem Hausrecht dem Fahrgast das Rauchen verbieten.,bei der Bereitstellung am Taxenstand.,Außerhalb des Geltungsbereiches,während der Durchführung eines Fahrauftrages,Eigenwerbung ist unzulässig. Diese Vorschrift dient der Wahrung der Chancengleichheit der Unternehmer,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Welche Verkehrsform unterliegt der Tarifpflicht?,bei der Bereitstellung am Taxenstand.,Bei Unfällen oder Reparaturen auf der Straße ist die Warnweste anzuziehen,Mietwagen hat keine Beförderungspflicht. deshalb kann der Fahrer schon aus dem Hausrecht dem Fahrgast das Rauchen verbieten.,Der Tarifpflicht unterliegt der Gelegenheitsverkehr mit Taxen,Außerhalb des Geltungsbereiches,während der Durchführung eines Fahrauftrages,Eigenwerbung ist unzulässig. Diese Vorschrift dient der Wahrung der Chancengleichheit der Unternehmer,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Welche Wirkung hat die Tarifpflicht wo?,bei der Bereitstellung am Taxenstand.,Bei Unfällen oder Reparaturen auf der Straße ist die Warnweste anzuziehen,Mietwagen hat keine Beförderungspflicht. deshalb kann der Fahrer schon aus dem Hausrecht dem Fahrgast das Rauchen verbieten.,Der Tarifpflicht unterliegt der Gelegenheitsverkehr mit Taxen,Innerhalb des Pflichtfahrgebietes müssen behördlich festgesetzte Beförderungsentgelte (Festpreise) erheben.,während der Durchführung eines Fahrauftrages,Eigenwerbung ist unzulässig. Diese Vorschrift dient der Wahrung der Chancengleichheit der Unternehmer,Fremdwerbung an Taxen und Mietwagen ist nur auf den seitlichen Fahrzeugtüren zulässig. Politische und religiöse Werbung ist unzulässig,
Nennen Sie 4 Preiselemente. aus denen sich der Fahrpreis zusammensetzen kann! Woraus wird der Tarif gebildet?,Grundpreis für Bereitstellung,bei der Bereitstellung am Taxenstand.,Anfahrt und erste Teilstrecke (Anfangstrecke,Mietwagen hat keine Beförderungspflicht. deshalb kann der Fahrer schon aus dem Hausrecht dem Fahrgast das Rauchen verbieten.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Innerhalb des Pflichtfahrgebietes müssen behördlich festgesetzte Beförderungsentgelte (Festpreise) erheben.,Zeitpreis (Wartezeit). der verkehrsbedingt oder von Fahrgast veranlasst ist.,Zuschlägen (z.B. für die Mitnahme von Reisegepäck. Sachen oder von Tieren und besondere Kosten. wie Straßenbenutzungs- oder Tunnelbenutzungsgebühren).,
Wo und wie häufig sind in der Regel Fahrpreisanzeiger zu eichen?,Grundpreis für Bereitstellung,Die Eichung ist 1 Mal im Jahr durch das Eichamt vorzunehmen. Der Unternehmer ist selbst verantwortlic,Anfahrt und erste Teilstrecke (Anfangstrecke,Mietwagen hat keine Beförderungspflicht. deshalb kann der Fahrer schon aus dem Hausrecht dem Fahrgast das Rauchen verbieten.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Innerhalb des Pflichtfahrgebietes müssen behördlich festgesetzte Beförderungsentgelte (Festpreise) erheben.,Zeitpreis (Wartezeit). der verkehrsbedingt oder von Fahrgast veranlasst ist.,Zuschlägen (z.B. für die Mitnahme von Reisegepäck. Sachen oder von Tieren und besondere Kosten. wie Straßenbenutzungs- oder Tunnelbenutzungsgebühren).,
Muss sich der Mietwagenunternehmer an Tarife halten?,Grundpreis für Bereitstellung,Die Eichung ist 1 Mal im Jahr durch das Eichamt vorzunehmen. Der Unternehmer ist selbst verantwortlic,Anfahrt und erste Teilstrecke (Anfangstrecke,Nein. der Mietwagenunternehmer muss sich an keine Tarife halten.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),Innerhalb des Pflichtfahrgebietes müssen behördlich festgesetzte Beförderungsentgelte (Festpreise) erheben.,Zeitpreis (Wartezeit). der verkehrsbedingt oder von Fahrgast veranlasst ist.,Zuschlägen (z.B. für die Mitnahme von Reisegepäck. Sachen oder von Tieren und besondere Kosten. wie Straßenbenutzungs- oder Tunnelbenutzungsgebühren).,
Wofür ist im Mietwagen der Wegstreckenzähler?,Grundpreis für Bereitstellung,Die Eichung ist 1 Mal im Jahr durch das Eichamt vorzunehmen. Der Unternehmer ist selbst verantwortlic,Anfahrt und erste Teilstrecke (Anfangstrecke,Nein. der Mietwagenunternehmer muss sich an keine Tarife halten.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Zeitpreis (Wartezeit). der verkehrsbedingt oder von Fahrgast veranlasst ist.,der Wegstreckenzähler dient als Kotrollgerät. um dem Fahrgast die Möglichkeit der Kontrolle des zu zahlenden Entgeltes zu geben,
Kann ein Fahrzeug sowohl als Taxi als auch als Mietwagen eingesetzt werden?,Die Eichung ist 1 Mal im Jahr durch das Eichamt vorzunehmen. Der Unternehmer ist selbst verantwortlic,Anfahrt und erste Teilstrecke (Anfangstrecke,Ja. in Orten unter 50.000 Einwohnern kann für einen Pkw die Genehmigung zum Taxi- und Mietwagenverkehr beantragt und erteilt werden.,Nein. der Mietwagenunternehmer muss sich an keine Tarife halten.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,Zeitpreis (Wartezeit). der verkehrsbedingt oder von Fahrgast veranlasst ist.,der Wegstreckenzähler dient als Kotrollgerät. um dem Fahrgast die Möglichkeit der Kontrolle des zu zahlenden Entgeltes zu geben,
