Welches sind die wichtigsten Rechtsgrundlagen des deutschen Straßenverkehrsrechts?,Straßenverkehrsgesetz (StVG),Straßenverkehrsordnung (StVO),Fahrerlaubnisverordnung (FeV) und,Straßenverkehrszulassungsordnung (StVZO),Verbandskasten,Warnweste,Warndreieck,Warnblinkanlage
Wer ist verantwortlich für die Betriebssicherheit und den vorschriftsmäßigen Einsatz des Kfz?,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Warnblinkanlage,Verlust ist der Zulassungsstelle zu melden.,Der Fahrzeughalter und der Fahrzeugführer,Ausreichender Bremsflüssigkeitsstand,Bremstest,Straßenverkehrsordnung (StVO)
Welches Mindestprofil für Reifen schreibt die StVZO vor?,Bremstest,Warnblinkanlage,Zeugen festhalten,Verlust ist der Zulassungsstelle zu melden.,Mindestens 16 mm,ab 11 Entzug der Fahrererlaubnis.,Straßenverkehrsordnung (StVO),Ausreichender Bremsflüssigkeitsstand
Ist im Taxi oder Mietwagen das Mitführen einer Warnweste und eines Feuerlöschers Pflicht?,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Die Warnweste muss mitgeführt werden der Feuerlöscher nicht.,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Mindestens 16 mm.,Straßenverkehrsordnung (StVO)
Bei welcher Sichtweite darf man die Nebelschlussleuchte anmachen?,Zeugen festhalten,Verlust ist der Zulassungsstelle zu melden.,Bei Sichtweiten unter 50 m.,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Bremstest,Straßenverkehrsordnung (StVO)
Wie schnell dürfen Fahrzeuge mit aufgezogenen Schneeketten maximal fahren?,Warnblinkanlage,Straßenverkehrsordnung (StVO),Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,Maximal auf allen Straße 50 km/h.,Warnblinkanlage,Verlust ist der Zulassungsstelle zu melden.,Straßenverkehrsordnung (StVO)
Welchen Abstand müssen Sie zum vorausfahrenden Fahrzeug einhalten?,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Abstand vom vorausfahrenden Fahrzeug muss so groß sein dass auch dann hinter ihm gehalten werden kann wenn plötzlich gebremst wird.,Verlust ist der Zulassungsstelle zu melden.,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Bremstest,Straßenverkehrsordnung (StVO)
Welche Aussage trifft bezüglich der Einnahme von Medikamenten im Straßenverkehr zu?,Ausreichender Bremsflüssigkeitsstand,Vor Einnahme der Medikamente sollte der Beipackzettel der Medikamente gelesen werden ob die Fahrtüchtigkeit beeinflusst wird.,ab 11 Entzug der Fahrererlaubnis.,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,ab 11 Entzug der Fahrererlaubnis.,Bremstest,Straßenverkehrsordnung (StVO)
Was muss eine ordnungsgemäße Unfallmeldung enthalten?,Warnblinkanlage,Zeugen festhalten,Straßenverkehrsordnung (StVO),Wer bin ich wo bin ich was ist passiert und wie viel Verletzte gibt es!,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Straßenverkehrsordnung (StVO)
Wie kann man nach einem Unfall Beweise sichern?,Warnblinkanlage,Zeugen festhalten,Ausreichender Bremsflüssigkeitsstand,Skizze machen,Foto machen,• Kreidezeichnungen auf der Fahrbahn.,Warnblinkanlage,Straßenverkehrsordnung (StVO)
Für die Gewährleistung seiner eige nen und der Sicherheit der übrigen Verkehrsteilnehmer im Fall eines Unfalles oder einer Panne hat der TuM-Fahrer insgesamt 4 Ausrüstungsgegenstände an Bord zu haben. Nennen Sie diese.,Verbandskasten,Warnweste,Warnblinkanlage,Warndreieck,ab 11 Entzug der Fahrererlaubnis.,Ausreichender Bremsflüssigkeitsstand,Bremstest,Straßenverkehrsordnung (StVO)
Was bedeutet ABS und was sind die Vorteile dieses Systems?,Zeugen festhalten,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Anti-Blockier-System! Es sorgt dafür dass beim starken Bremsen die Reifen nicht blockieren,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Bremstest,Straßenverkehrsordnung (StVO)
Nennen Sie 4 Beispiele wie Sie die Verkehrssicherheit des Fahrzeugs überprüfen können!,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,• Reifendruck prüfen,Warnblinkanlage,• Licht kontrollieren,Bremstest,• Warnblickanlage ausprobieren.,ab 11 Entzug der Fahrererlaubnis.
Besteht für die entgeltliche Beförderung von Fahrgästen mit Personenkraftwagen eine besondere Erlaubnispflicht?,Verlust ist der Zulassungsstelle zu melden.,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Warnblinkanlage,Ja wer ein Taxi einen Mietwagen einen Krankenkraftwagen oder einen Pkw im Linienverkehr oder bei gewerbsmäßigen Ausflugsfahrten oder Ferienziel-Reisen führt bedarf einer zusätzlichen Erlaubnis der Verwaltungsbehörde wenn in diesen Kfz mind. 1 Fahrgast befördert wir,ab 11 Entzug der Fahrererlaubnis.,Straßenverkehrsordnung (StVO),Ausreichender Bremsflüssigkeitsstand
Welche Möglichkeit des Verbots der Fahrzeugführung gibt es?,Zeugen festhalten,Ausreichender Bremsflüssigkeitsstand,Entziehung der Fahrerlaubnis,Warnblinkanlage,• vorläufige Entziehung der Fahrerlaubnis und,Fahrverbot,Verlust ist der Zulassungsstelle zu melden.,Straßenverkehrsordnung (StVO)
Welche Behörden können diese Verbote aussprechen?,•Entzug der Fahrerlaubnis kann von der Verwaltungsbehörde und von einem Gericht ausgesprochen werden ebenso ein Fahrverbot,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,vorläufige Entziehung der Fahrerlaubnis kommt nur durch den Richter in Betracht.,ab 11 Entzug der Fahrererlaubnis.,Straßenverkehrsordnung (StVO),Verlust ist der Zulassungsstelle zu melden.
Wann muss die Verwaltungsbehörde die Fahrerlaubnis entziehen?,Warnblinkanlage,Zeugen festhalten,Wenn sich jemand als ungeeignet zum Führen von Kfz erwiesen hat,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Straßenverkehrsordnung (StVO)
Wann spricht man in der Regel von Ungeeignetheit zum Führen von Kraftfahrzeugen?,Warnblinkanlage,wer sonst gegen verkehrsrechtliche Vorschriften oder Straßengesetze erheblich verstoßen hat.,Ausreichender Bremsflüssigkeitsstand,• wer wegen körperlicher oder geistiger Mängel ein Kfz nicht sicher führen kann,Warnblinkanlage,wer unter erheblicher Wirkung geistiger Getränke oder anderer berauschender Mittel am Verkehr teilgenommen,ab 11 Entzug der Fahrererlaubnis.,Straßenverkehrsordnung (StVO)
In welchen Fällen ist mit einer Entziehung der Fahrerlaubnis durch ein Gericht zu rechnen?,Warnblinkanlage,Wenn der Kraftfahrer die Straftatbestände einer Gefährdung des Straßenverkehrs oder der Trunkenheit im Verkehr der Verkehrsunfallflucht oder einer Rauschtat die sich auf die o.g. strafbaren Handlungen bezieht erfüllt hat,Bremstest,Straßenverkehrsordnung (StVO),Verlust ist der Zulassungsstelle zu melden.,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Ausreichender Bremsflüssigkeitsstand
Behält die Fahrerlaubnis zur Fahrgastbeförderung nach Entzug der allgemeinen Fahrerlaubnis ihre Gültigkeit?,Straßenverkehrsordnung (StVO),Ausreichender Bremsflüssigkeitsstand,Nein sie wird ebenfalls entzogen.,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.
Welche besonderen Pflichten treffen den Fahrzeugführer?,Warnblinkanlage,Zeugen festhalten,Bremstest,Das Fahrzeug muss verkehrssicher sein und während des Einsatzes verkehrssicher bleiben.,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.
Welche Geschwindigkeitsvorschrifte n gibt es?,Bremstest,Fahrer darf so schnell fahren dass er sein Fahrzeug ständig beherrscht,Die zulässige Höchstgeschwindigkeit beträgt • innerhalb geschlossener Ortschaften für alle Kfz 50 km/h,Ausreichender Bremsflüssigkeitsstand,außerhalb geschlossener Ortschaften dürfen Pkw auf Landstraßen 100 km/h fahren auf Autobahnen gibt es keine generelle Geschwindigkeitsbegrenzung,Verlust ist der Zulassungsstelle zu melden.,Straßenverkehrszulassungsordnung (StVZO),worden ist dass er mehr als 3 Tage arbeitsunfähig wird.
Wie muss man sich gegenüber Fahrgästen verhalten die auf der Fahrbahn in ein öffentliches Verkehrsmittel Straßenbahn oder Omnibus ein- bzw. aussteigen wollen?,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,an Haltestellen darf an öffentlichen Verkehrsmitteln rechts nur in mäßiger Geschwindigkeit und nur in einem solchen Abstand vorbeigefahren werden dass eine Gefährdung von Fahrgästen ausgeschlossen ist.,Warnblinkanlage,Fahrgäste dürfen auch nicht behindert werden wenn nötig muss der Fahrzeugführer warten,Verlust ist der Zulassungsstelle zu melden.,worden ist dass er mehr als 3 Tage arbeitsunfähig wird.,wer unter erheblicher Wirkung geistiger Getränke oder anderer berauschender Mittel am Verkehr teilgenommen
Wie hat man sich zu verhalten wenn ein Linien-Omnibus oder Schulbus der an der Haltestelle angehalten hat das Warn- blinklicht eingeschaltet hat?,•darf nur mit Schrittgeschwindigkeit und mit solchem Abstand dass eine Gefährdung von Fahrgästen ausgeschlossen ist vorbeifahren.,Verlust ist der Zulassungsstelle zu melden.,Warnblinkanlage,Schrittgeschwindigkeit gilt auch für den Gegenverkehr auf derselben Fahrbahn.,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten,wer unter erheblicher Wirkung geistiger Getränke oder anderer berauschender Mittel am Verkehr teilgenommen
Darf ein Taxifahrer die Sonderfahrstreifen für Omnibusse benutzen?,Bremstest,Ja weil das Zusatzschild „Taxi frei“ dies gestattet.,Warnblinkanlage,Verlust ist der Zulassungsstelle zu melden.,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Verlust ist der Zulassungsstelle zu melden.
Ist Taxifahrern die Mitbenutzung der Spur auf allen Sonderfahrstreifen erlaubt?,Bremstest,Warnblinkanlage,Taxen dürfen zwar grundsätzlich auf Sonderfahrstreifen der Omnibusse zugelassen werden,•dies gilt aber nicht wenn hierdurch der Linienverkehr gestört würde.,es gilt auch nicht für Sonderstreifen für Linienomnibusse im Gleisraum von Schienenfahrzeugen.,Ein- und Aussteigen von Fahrgästen ist bei Benutzung von Bus-Sonderspuren nur an den Haltestellen erlaubt,Verbandskasten,wer unter erheblicher Wirkung geistiger Getränke oder anderer berauschender Mittel am Verkehr teilgenommen
Darf in 2. Reihe gehalten werden?,• das Halten in 2. Reihe z. Ein- und Aussteigenlassen von Fahrgästen ist erlaubt soweit es die Verkehrslage zulässt.,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,der Fahrer darf auch aussteigen um den Fahrgästen z.B. beim Koffertragen behilflich zu sein oder diese von der Haustüre abzuholen,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten,wer unter erheblicher Wirkung geistiger Getränke oder anderer berauschender Mittel am Verkehr teilgenommen
Wie muss man sich verhalten wenn man mit seinem Kfz die Fahrbahn mit Öl beschmiert hat,Warnblinkanlage,Diese hat unverzüglich zu beseitigen und sie bis dahin ausreichend kenntlich zu machen.,Verlust ist der Zulassungsstelle zu melden.,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.,wer unter erheblicher Wirkung geistiger Getränke oder anderer berauschender Mittel am Verkehr teilgenommen
Wer gilt als Beteiligter an einem Verkehrsunfall?,Zeugen festhalten,Bremstest,Jeder ist Beteiligt dessen Verhalten nach den Umständen zum Unfall beigetragen haben kann.,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Verlust ist der Zulassungsstelle zu melden.
Wie hat man sich bei einem Unfall zu verhalten?,Zeugen festhalten,Bremstest,Warnblinkanlage,,Jeder Beteiligte hat sofort zu halten sich über die Unfallfolgen zu vergewissern und den Verkehr zu sichern,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.
Was versteht man unter einer,Wenn sich jemand nach einem Verkehrsunfall der Fest,Zeugen festhalten,Bremstest,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,stellung seiner Person seines Kfz oder der Art seiner Beteiligung an dem Unfall vorsätzlich durch Flucht entzieht obwohl nach den Umständen infrage kommt dass sein Verhalten zur Verursachung des Unfalles beigetragen hat.,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Ist im Taxi- und Mietwagen Warnkleidung zwingend mitzuführen oder empfiehlt sich dies nur als sinnvoller Ausrüstungsgegenstand für Unfälle bzw. Pannenarbeiten?,Die Unfallverhütungsvorschrift schreibt vor dass Taxen und Mietwagen mit geeigneter Warnkleidung (Warnweste oder Warnjacke) für „wenigstens einen Versicherten“ also den Fahrer mitzuführen sind,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten,• beim Ausfahren aus einem verkehrsberuhigten Bereich haben die anderen Verkehrsteilnehmer Vorrang.,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten,worden ist dass er mehr als 3 Tage arbeitsunfähig wird.
In welchen Situationen ist Taxiund Mietwagenfahrern das Tragen von Warnkleidung vorgeschrieben?,Warnblinkanlage,Warnblinkanlage,Bei Instandsetzungsarbeiten am Fahrzeug und bei Abschlepp- oder Bergungsarbeiten auf öffentlichen Straßen im Gefahrenbereich des fließenden Verkehrs,worden ist dass er mehr als 3 Tage arbeitsunfähig wird.,Bei anderen Tätigkeiten am Fahrzeug z.B. dem Aufziehen von Schneeketten in vergleichbarer Örtlichkeit,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Ist bei einer durchgehenden Reifen Profiltiefe von 20 mm ein Taxi noch ordnungsgemäß bereift?,Warnblinkanlage,Vorgeschrieben ist eine Mindest-Profiltiefe von 16 mm,Ausreichender Bremsflüssigkeitsstand,Bei Sommerreifen sollten allerdings aus Fahrsicherheitsgründen die 20 mm keineswegs unterschritten werden,ab 11 Entzug der Fahrererlaubnis.,bei Winterreifen ist bereits unter 40 mm die Tauglichkeit bei problematischen Straßengegebenheiten wie Schnee deutlich eingeschränkt.,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Was sollte die Prüfliste hinsichtlich der Räder enthalten?,Feigen ohne Beschädigung,Bremstest,Radmuttern fest und unbeschädigt,Reifen ohne sichtbare Schäden,Warnblinkanlage,Ausreichende Profiltiefe - kein Luftdruckverlust,Ventilkappen vorhanden,Verlust ist der Zulassungsstelle zu melden.
Was schließlich sind die Bestandteile der „Prüfliste Bremsen“?,Vertretbarer Leerweg des Bremspedals,Ausreichender Bremsflüssigkeitsstand,kein „Nachgeben“ des Bremspedals bei mehrmaligem kurz hintereinander erfolgendem starken Niedertreten.,Verlust ist der Zulassungsstelle zu melden.,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.
Ein Mietwagenfahrer hat eine Reifenpanne so dass er auf einer städtischen Hauptverkehrsstraße den Reifen wechseln muss. Was und in weicher Reihenfolge hat er zuvor zu veranlassen?,- Fahrzeug so weit rechts wie möglich abstellen,worden ist dass er mehr als 3 Tage arbeitsunfähig wird.,Warnblinkanlage betätigen,Warnkleidung anziehen,Ausreichender Bremsflüssigkeitsstand,Warndreieck in ausreichendem Abstand aufstellen (mind. 50 m).,Verlust ist der Zulassungsstelle zu melden.,ab 11 Entzug der Fahrererlaubnis.
Ein angestellter Fahrer ist mitschuldig an einem Verkehrsunfall bei dem er bis auf eine Schnittverletzung an der Wange unverletzt bleibt. Der Beifahrer des Unfallgegners wird jedoch so verletzt dass ein einwöchiger,ab 11 Entzug der Fahrererlaubnis.,•Er sollte den Unfall zur Vermeidung des Vorwurfs einer Obliegenheitspflichtverletzung unverzüglich dem Fahrzeugversicherer melden.,ab 11 Entzug der Fahrererlaubnis.,Gegenüber der Berufsgenossenschaft für Fahrzeughaltungen besteht keine Meldeverpflichtung da sein dort gesetzlich unfallversicherter Fahrer nicht so verletzt,worden ist dass er mehr als 3 Tage arbeitsunfähig wird.,Verlust ist der Zulassungsstelle zu melden.,Ausreichender Bremsflüssigkeitsstand,Verbandskasten
Welche besonderen Geschwindigkeitsvorschriften gelten gegenüber Kindern Hilfsbedürftigen und älteren Menschen?,Man muss so verhalten dass eine Gefährdung dieser Verkehrsteilnehmer ausgeschlossen ist.,Verlust ist der Zulassungsstelle zu melden.,Warnblinkanlage,ab 11 Entzug der Fahrererlaubnis.,ab 11 Entzug der Fahrererlaubnis.,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.
Welche besonderen Vorschriften gelten in verkehrsberuhigten Bereichen?,Schrittgeschwindigkeit einhalten,Fußgänger dürfen die Straße in ihrer ganzen Breite benutzen; Kinderspiele sind überall erlaubt,Verlust ist der Zulassungsstelle zu melden.,man darf die Fußgänger weder gefährden noch behindern wenn nötig müssen warten,die Fußgänger dürfen den Fahrverkehr nicht unnötig behindern,• beim Ausfahren aus einem verkehrsberuhigten Bereich haben die anderen Verkehrsteilnehmer Vorrang.,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Wann darf trotz Vorfahrt oder grünem Lichtzeichen nicht weitergefahren werden?,Warnblinkanlage,Wenn der Verkehr stockt so darf niemand in die Kreuzung oder Einmündung einfahren.,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Nennen Sie 3 AlkoholpromilleGrenzwerte die für einen Taxi /Mietwagenfahrer gelten,ab 03 kann mind. Bußgeldverfahren eingeleitet werden,00 Promille für alle Taxi- und Mietwagenfahrer während des Dienstes,ab 03-079 100 € Bußgeld 2 Punkten in Flensburg,ab 08-109 250 € Buggeld 4 P. 1 Mon. Fahrverbot,ab 11 Entzug der Fahrererlaubnis.,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Welche Unterlagen sind beim Antrag auf Zulassung vorzulegen?,Amtlicher Ausweis über die Person des Antragstellers • Fahrzeugbrief,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Bestätigung über eine ausreichende KfzVersicherung.,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Welche Bedeutung hat der Kraftfahrzeugschein?,Bremstest,Wird erst aufgrund der Betriebserlaubnis und nach Zuteilung des Kennzeichens ausgefertigt und ausge,ab 11 Entzug der Fahrererlaubnis.,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Wo muss der Kraftfahrzeug- schein „aufbewahrt“ werden?,Zeugen festhalten,Bremstest,,Der Fahrzeugführer hat den Fahrzeugschein mitzuführen,Warnblinkanlage,Verlust ist der Zulassungsstelle zu melden.,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.
Was gilt wenn der Fahrzeugschein verloren geht oder unbrauchbar wird?,Straßenverkehrsordnung (StVO),Warnblinkanlage,Verlorene werden für ungültig erklärt • beschädigte werden entzogen.,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Welche Bedeutung hat der Fahrzeugbrief?,Warnblinkanlage,Zeugen festhalten,Bremstest,Eine wichtige Urkunde,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.,Verlust ist der Zulassungsstelle zu melden.
Wo sollte der Fahrzeugbrief aufbewahrt werden?,Bremstest,Der Eigentümer muss ihn sorgfältig aufbewahren,Ausreichender Bremsflüssigkeitsstand,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,Verlust ist der Zulassungsstelle zu melden.,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.
Muss der Fahrzeugbrief unterwegs vorgezeigt werden?,Zeugen festhalten,Bremstest,Ausreichender Bremsflüssigkeitsstand,Nein.,Verlust ist der Zulassungsstelle zu melden.,Straßenverkehrsordnung (StVO),Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
Was steht alles im Fahrzeugbrief?,Bremstest,Amtliche Kennzeichen des Kfz.,Warnblinkanlage,Verlust ist der Zulassungsstelle zu melden.,Ausreichender Bremsflüssigkeitsstand,die Personalien für den das Kfz zugelassen ist,Ausreichender Bremsflüssigkeitsstand,Verlust ist der Zulassungsstelle zu melden.
Was ist bei Verlust des Briefes zu veranlassen?,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,Verlust ist der Zulassungsstelle zu melden.,Ausreichender Bremsflüssigkeitsstand,Warnblinkanlage,ab 11 Entzug der Fahrererlaubnis.,Verlust ist der Zulassungsstelle zu melden.,Verbandskasten
