Wo dürfen auf Busspuren- die für Taxis zugelassen sind von Taxifahrern Fahrgäste aufgenommen werden?,Sozialversicherungsbeitragstabelle,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Nur an Bushaltestellen,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Welche Unterlagen werden von Unternehmer in der Regel zu Lohnberechnung Nettolohn benötigt? Nennen Sie 3 Unterlagen,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,Lohnsteuertabelle,Sozialversicherungsbeitragstabelle,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Lohnsteuerkarte des Arbeitnehmers
Wie lange darf ein Angestellter Mietwagenfahrer am Tag höchstens ununterbrochen beschäftigt sein?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Welche Vorraussetzung muss vorliegen- damit die Genehmigung für Taxi und Mietwagen Unternehmer nach Ablauf der Genehmigungszeit verlängert wird,Ermittlung der Zahllast und Traglast,"Anlegen und führen von Lohnkosten, Lohnbuch",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Welche Vorschrift legt das für Taxiunternehmer maßgebende Pflicht Fahrgebiet Fest?,Sozialversicherungsbeitragstabelle,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
An welchen Stellen des Taxis ist Nach der BOkraft Werbung erlaubt,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Wofür darf nach der BOKraft nicht geworben werden,Taxi Genehmigung der deutschen Genehmigungsbehörde,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Politische und religiöse Werbung Ist an Taxen unzulässig,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Darf bei einer Personenbeförderung im Pflichtfahrgebiet auf die Berechnung der tariflichen Zuschläge verzichtet werden,Ermittlung der Zahllast und Traglast,"Anlegen und führen von Lohnkosten, Lohnbuch",nein,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Wie viel Gepäck musst ein Taxi auch bei vollständige Besetzung mindestens befördern können,Sozialversicherungsbeitragstabelle,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,50 kg,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
In welchen fällen muss die Beleuchtung des Taxischildes am Fahrzeug ausgeschaltet sein,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,Kurierfahrten,wenn das Fahrzeug nicht bereit gehalten wird,Tunnelgebühren,Fahrten zur Abholungs Adresse,Besetztfahrten,Privatfahrten
Nennen Sie 3 Taxispezifischen Ausrüstungsgegenstände- die sich im Inneren eines Taxis befinden müssen,Taxi Genehmigung der deutschen Genehmigungsbehörde,Fahrpreisanzeiger,Ordnungsnummer,Schild mit Unternehmer Anschrift,Alarmanlage,Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Ihr Taxi steht auf einem örtlichen Taxistand- ihr Fahrer wartet auf einem Fahrgast worauf hat Fahrer im Rücksicht auf die Einwohner?,Radio Funk bei offenem Fenster so leise wie möglich einzustellen,Unnötiges laufen lassen des Motors,Unnötiges lautes zuschlagen von Türen vermeiden,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Sie sind daran interessiert- den Betrieb- in dem sie schon seit Jahren Arbeiten zu übernehmen- Es handelt sich um einen Betrieb mit einen Taxi und einem Mietwagen- nach der Übernahme beabsichtigen Sie- den Mietwagen selbst zu fahren und für den Taxi einen Fahrer einzustellen. Welche 4 Voraussetzungen müssen Sie erfüllen damit ihnen Taxi und Mietwagen Kondition übertragen werden können und sie den Mietwagen selbst fahren dürfen?,—Fachliche Eignung,persönliche Zuverlässigkeit,Finanzielle Leistungsfähigkeit,PersonenbeförderungSchein,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Sie übernehmen die gebrauchten Fahrzeug ihres Vorgängers- der Fahrpreisanzeiger des Taxis wurde durch ein neues Gerät ersetzt. Für beide Fahrzeuge ist die Hauptuntersuchung fällig was müssen Sie vor in Betriebname der beiden Fahrzeuge beachten?,"Durchführung der Hauptuntersuchung für beide Fahrzeuge inklusive der Festellung, ob die Fahrzeuge den Bestimmung der BOKraft entsprechen",Der Fahrpreisanzeiger des Taxen muss bei Eichamt für geeicht werden,dieUntersuchungsberichte und bei der Genehmigungsbehörde Vorlegen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Vor der Umschreibung der Fahrzeuge bei der Kfz Zulassungsstelle wollen Sie alle notwendige Unterlagen zusammenstellen- Sie haben bereits die Fahrzeugbriefe zurecht gelegt. welche Unterlagen fehlen noch?,—Nachweis über Abgasuntersuchung,Versicherungsdoppelkarten,Ja,Personalausweis,Fahrzeugscheine,Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Sie überlegen- ob sie als Kleingewerbeinder in das Handelsregister eintragen zu lassen. Kann ein Kleinbetrieb eintragen werden.,Ermittlung der Zahllast und Traglast,"Anlegen und führen von Lohnkosten, Lohnbuch",Ja,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Wer führt das Handelsregister?,Sozialversicherungsbeitragstabelle,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,Das örtliche zuständige Amtsgericht,50 kg,Besetztfahrten
Sie Haben sich entschieden- sich als Einzelhandelskaufmann in das Handelsregister eintragen zu lassen.Was müssen Sie veranlassen (mit bringen) ?,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,Beurkundung der Handelsregister Anmeldung durch einen Notar,Einreichung der Anmeldung beim Amtsgericht durch den Notar,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Welche Rechtformzusatz ist bei Neueintragung von Einzelkaufleuten in das Handelsregister zwingend vorgeschrieben ?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Name und Zusatz eingetragener Kaufmann oder Kauffrau,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Ein amtlicher Handelsregister ist ein öffentliches Verzeichnis aller Kaufleute. Aufgrund des Verkehrsunfall haben Sie gegenüber bestimmten Behörden Meldepflichten. a)Nennen Sie 3 Stellen denen sie als Unternehmer den Unfall zu melden haben B)Innerhalb welche Fristen müssen Sie die jeweiligen Stellen über den Unfall informiert,—Genehmigungsbehörde Sofort,Berufsgenossenschaft Sofort,Meldungen eigene Kfz Haftpflicht Versicherung Innerhalb von 3 Tagen,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Für die Zeit in der ihr Taxi repariert wird- ist ein Fahrauftrag mit dem Mietwagen zu Einem Flughafen ins benachbarte Ausland fest vereinbart. Da ihnen der Auftrag zeitlich nicht passt- wollen Sie die Fahrt nicht machen. Der Fahrgast möchte aber unbedingt von Ihnen gefahren werden. Ist ihr Unternehmer verpflichtet den Fahr Auftrag selbst durchzuführen?,Sozialversicherungsbeitragstabelle,"Ja, der Beförderungsvertrag ist bereits abgeschlossen worden. Besteht der Fahrgast auf die Erfüllung des Vertrages, so haftet der Unternehmer dafür",Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Wie wäre die Situation bezüglich der weiterenförderung des Fahrgastes wenn sie mit ihrem Fahrzeug während der Beförderung im Ausland einem Unfall hätten,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Der Unternehmer muss hier für die Möglichkeit der Weiterfahrt des Fahrgastes Sorgen.Der Unternehmer haftet dafür,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Sie haben den Fahrauftrag ins Ausland durchgeführt. Auf dem Rückweg zum Betriebssitz noch vor der Grenze winkt sie ein Fahrgast heran und möchte nach Deutschland mitgenommen werden. Dürfen Sie ihn mitnehmen?,"Nein, Fahrgäste aus dem Ausland dürfen von dort nicht befördert werden",Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Welche der nachfolgenden ausgeführte Wirtschaftsgüter können Sie in einem Jahr Steuerrechtlich in voller Höhe als Betriebsausgaben absetzen,Ermittlung der Zahllast und Traglast,"Anlegen und führen von Lohnkosten, Lohnbuch",10 Jahre,—PC - Drucker im Wert von 149 €,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Was ist eine Lastschrift?,Sozialversicherungsbeitragstabelle,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,"Anzeige, dass der Betrag vom Konto abgebucht ist",50 kg,Besetztfahrten
Was ist ein Gutschrift?,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Mautgebühren,"Anzeige, dass der Betrag dem Konto gutgeschrieben ist",Übernachtungskosten,höre Kraftstoffpreise,Spesen
Was ist eine Überweisung?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,"Anweisung, einen Geldbetrag von Konto an einem anderen Konto zu schicken",Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Was ist eine Einzugsermächtigung ?,Ermittlung der Zahllast und Traglast,"Die Ermächtigung, bestimmte Forderungen vom Konto abbuchen zu lassen",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Was ist ein Scheck ?,Sozialversicherungsbeitragstabelle,Max 6 Stunden,"Ist eine Einweisung an einem Geldinstitut, dem Überbringer des Schecks eine bestimmte Geldsumme auszuzahlen",Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Was ist eine Barscheck?,Vorauszahlung auf die Zinsen,Taxi Schild muss entfernt werden,Kann man nur bei Konto führenden Banken einlösen und erhalten dort dann den Betrag als Bargeld sofort ausgezahlt,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Sie bekommen einen gerichtlichen Mahnbescheid. Was tun Sie,Taxi Genehmigung der deutschen Genehmigungsbehörde,Prüfen ob der berechtigt ist. Wenn es richtig ist bezahlen. Wenn nicht innerhalb von 2 Wochen Widerspruch beim zuständigen Amtsgericht einlegen.,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Unter welcher Voraussetzung hat die Genehmigungsbehörde eine Genehmigung zu Widerrufen?,Wenn die Zuverlässigkeit des Unternehmers nicht mehr vorliegt,"Anlegen und führen von Lohnkosten, Lohnbuch",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
In welchem Fall unterliegt der Taxiunternehmer eine Beförderungspflicht?,Sozialversicherungsbeitragstabelle,Grundsätzlich nur für Fahrten innerhalb der Tarifgebietes,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Was ist bei der Annahme und nach der Ausführung von Beförderungsaufträgen im Mietwagen Verkehr gemäß Personal Beförderungsgesetz zu beachten,Der Auftrag muss am Betriebssitz oder in der Wohnung des Unternehmers eingetragen sein,-Rückkehr zum Betriebssitz Ausnahme Funk Auftrag,Buchmäßige Erfassung des Eingangs des Beförderungsauftrages (Aufbewahrungsfrist 1 Jahr),Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Kann ein Unternehmer bei Personenbeförderungen die Haftung ausschließen oder begrenzen ? Bei Personenschäden ?,Nein,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Kann ein Unternehmer bei Personenbeförderungen die Haftung ausschließen oder begrenzen? Bei Sachschäden ?,Ermittlung der Zahllast und Traglast,Ja,10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Nennen Sie 4 Preiselemente- aus denen sich der Fahrpreis bei Taxi zusammensetzt?,Sozialversicherungsbeitragstabelle,Grundgebühr,Wartezeit,KM Preis,Zuschläge,nein,50 kg,Besetztfahrten
Wenn der Besteller eine Taxis die Fahrt nicht antritt- muss diese dann den Taxifahrern die vergebliche Anfahrt bezahlen,Nein,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
Was ist eine Bilanz?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Stille Reserve ist der unterschied zwischen den Zeit und Restwert eines Anlageguts,Vermögensübersicht für das ganze Jahr,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Erläutern Sie die wesentlichen Merkmale einer Gewinn und Verlust Rechnung?,Ermittlung der Zahllast und Traglast,"Die Gewinn und Verlust ist die Darstellung alle Aufwendungen und Erlöse für einen bestimmten Zeitraum, in der Regel für 1 Jahr, zur Ermittlung des Erfolges eines Unternehmens",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Welche Pflichtversicherungen bestehen für ein Personenverkehrunternehmen ?,Sozialversicherungsbeitragstabelle,Kfz Haftpflicht und Unfallversicherung,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Kann die Kfz Haftpflicht Versicherung die Regulierung von festgestellten Schäden gegenüber Dritten verweigern?,Nein aber der Schädiger kann unter Umständen in Regress genommen werden,bei Vermögensschädenansprüchen aus einem Unfall usw.,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
In welchen fällen tritt die Verkehrsrechtschutz Versicherung ein ?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Bei Bußgeldbescheide,bei Führerscheinentzug,bei Vermögensschädenansprüchen aus einem Unfall usw.,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Welche Maßnahmen muss ein Fahrer im Hinblick auf Fund Sachen ergreifen,Ermittlung der Zahllast und Traglast,"Nach Beendigung jeder Fahrt ist zu prüfen, ob Gegenstände zurückgeblieben sind",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
In welchem Zeitabstand ist die Hauptuntersuchung eines Taxis oder Mittwagen anfällig?,Sozialversicherungsbeitragstabelle,Max 6 Stunden,1 Jahr,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
Welche Voraussetzungen muss erfüllt sein- um ein Taxi auf einem Taxi Platz einer Gemeinde bereit halten zu dürfen,Der Taxi Platz muss innerhalb des Betriebssitz Gemeinde des Unternehmers liegen,Taxi Schild muss entfernt werden,—Bilaterale Abkommen,Mautgebühren,Tunnelgebühren,Übernachtungskosten,höre Kraftstoffpreise,Spesen
In welchem Fall musst du ein Taxischild beleuchtet sein ?,Taxi Genehmigung der deutschen Genehmigungsbehörde,Wenn du Taxi innerhalb des Pflichtfahrgebietes unterwegs ist und zur Benutzung frei ist.,Ja,Ständige Vorsicht und gegenseitige Rücksichtnahme,"Sich so verhalten dass kein anderer gefährdet, geschädigt behindert oder belästigt wird",Nach dem Bruttoverdienst,Der Halter,Addition alle Ausgaben
Sie sind mehr als 4 Jahre Taxiunternehmen und wollen einen 40-jährigen Mitarbeiter mit einem befristeten Vertrag einstellen. Einen sachlichen Grund für die Befristung haben sie nicht. Auf welchem Zeitraum dürfen Sie denn noch das Arbeitsverhältnis befristet,Max. 2 Jahre,"Anlegen und führen von Lohnkosten, Lohnbuch",10 Jahre,Das Skonto ist ein prozentualer Nachlass vom Kaufpreis,Ansprüche aus einem Beförderungsvertrag verjähren nach 3 Jahre,"Die Verjährung beginnt mit dem Ende des Jahres, in dem der Anspruch entstanden ist",Nur an Bushaltestellen,—Lohnsteuerkarte des Arbeitnehmers
Wer ist für die Betriebs und Verkehrssicherheit des Fahrzeugs und den Vorschriftsmäßigen Einsatz verantwortlich,Der Fahrzeugführer und der Fahrzeughalter,Max 6 Stunden,Die Sicherheit und Leistungsfähigkeit des Betriebes muss gegeben sein,Taxi Tarif Ordnung,Politische und religiöse Werbung Ist an Taxen unzulässig,nein,50 kg,Besetztfahrten
